timestamp, first_name, last_name, company_university_or_looking, job_title, city, email, linkedin_profile, twitter, facebook, website_or_portfolio, would_like_to_be_a, is_interested_in_learning, has_skills, can_attend_mentoring_sessions, identifies_as, share_my_information_with
10/26/16 8:04,Lani,Rollins,TEDCO,Owner/lead photographer ,Baltimore,blandit@quam.com,https://www.linkedin.com/in/test123,test123,https://www.facebook.com/test123,https://www.about.me/test123, mentor,"investing, negotiating","front end development, back end development, leadership, entrepreneurship, social media, business development, full stack, javascript, ruby, HTML, SQL","Afternoon, Evening","male, person of color, african american",
10/26/16 10:23,McKenzie,Burris,18F,Portfolio Manager / Developer / CEO,"Washington, DC",mauris.Morbi.non@nequeNullam.com,https://www.linkedin.com/in/test124,test124,https://www.facebook.com/test124,https://www.about.me/test124, mentee,"leadership, product management, investing, negotiating, social media, marketing","social media, digital content, marketing, product management, HTML",Evening,"female, queer, bisexual, person of color, african american, latinx",
10/26/16 10:30,Amethyst,Morgan,Adobe,Web Producer,"Washington, D.C.",dui@magnis.ca,https://www.linkedin.com/in/test125,test125,https://www.facebook.com/test125,https://www.about.me/test125,mentee,"front end development, back end development, graphic design, UX design, systems engineer, javascript, HTML, social media","front end development, graphic design, social media, video editing / videographer, digital content, javascript, HTML","Afternoon, Evening","male, african american, latinx",
10/26/16 11:18,Lamar,Hardin,Asher Levine,User Experience Designer,"Washington, DC",pharetra.felis.eget@mattisInteger.com,https://www.linkedin.com/in/test126,test126,https://www.facebook.com/test126,https://www.about.me/test126, mentee,"front end development, data science, javascript, marketing",HTML,Any session works for me,"female, person of color, lesbian, african american",
10/27/16 10:42,Keegan,Coleman,Capital One,Technologist,Arlington,leo.Cras.vehicula@musProinvel.edu,https://www.linkedin.com/in/test127,test127,https://www.facebook.com/test127,https://www.about.me/test127, mentee,"back end development, full stack, game development","front end development, back end development, UX design, full stack, javascript, ruby, python, HTML","Morning, Afternoon","gender queer, lesbian, person living with a disability",
10/27/16 11:57,Marshall,Griffith,Company,Student- Looking for internships.,Oakton,egestas.Aliquam@Proinvelnisl.edu,https://www.linkedin.com/in/test128,test128,https://www.facebook.com/test128,https://www.about.me/test128,mentor,"tech journalism, leadership, product management, entrepreneurship, business development, marketing","front end development, back end development, entrepreneurship, full stack, javascript, python, HTML, SQL",,,
10/29/16 4:00,Jonah,Deleon,CSC,Sr. Software Engineer,"Frederick, MD",Donec.tincidunt.Donec@dolor.org,https://www.linkedin.com/in/test129,test129,https://www.facebook.com/test129,https://www.about.me/test129,both,"negotiating, entrepreneurship, social media, business development","marketing, Time management ","Afternoon, Evening",female,
10/29/16 7:00,Jackson,Howell,Envolve PeopleCare,Social Media Specialist,"Washington, DC",eleifend@Nuncullamcorpervelit.ca,https://www.linkedin.com/in/test130,test130,https://www.facebook.com/test130,https://www.about.me/test130,both,"leadership, product management, negotiating, business development, marketing","negotiating, digital content, marketing, product management, business development, information technology, government","Afternoon, Evening",female,
10/29/16 10:40,Kieran,Edwards,Fearless Labs & ImpactUs Marketplace,Social Media Manager,Laurel,a.enim@perinceptoshymenaeos.com,https://www.linkedin.com/in/test131,test131,https://www.facebook.com/test131,https://www.about.me/test131, mentee,"leadership, information technology, full stack, Application security","front end development, back end development, information technology",Morning,female,
10/29/16 11:50,Fiona,Howard,Inspire,Programmer ,"Washington, DC",ut.quam@loremfringillaornare.org,https://www.linkedin.com/in/test132,test132,https://www.facebook.com/test132,https://www.about.me/test132, both,"back end development, data science, python, negotiating, SQL","data science, python, SQL","Afternoon, Evening","female, latinx, cisgender",
